manager_id,manager_name,type,style,strategy,sector,active
379,Assure Wealth,Equity LS,Systematic,AI,ESG,False
380,AST Capital Management,CTA,Systematic,Contrarian,Global,False
381,Astor,LongOnly,Systematic,Diversified,Global,True
382,Astor Duet,CTA,Discretionary,Fundamental,Global,False
383,Astra Ventures Investment Partners,CTA,Discretionary,Fundamental,Global,False
384,Astraeus,Crypto,Discretionary,Digital Asset Allocator,Global,False
385,Astute Capital Group,CTA,Systematic,Multi Strategy,Equity,False
386,Asymmetric Asset Management AS,CTA,Discretionary,Fundamental,Global,False
387,Asymmetric Technologies,Crypto,Discretionary,Crypto LS,Global,False
388,Asymmetry Active Performance,Crypto,Discretionary,Digital Asset Allocator,Global,True
389,Asymmetry Top40 Performance,Crypto,Discretionary,Digital Asset Allocator,Global,True
390,ATAC,AssetAllocation,Systematic,Diversified,Global,True
391,Athena Pro Series,CTA,Fund of Funds,Diversified,Global,False
392,Athos,Event Driven,Discretionary,Fundamental,Asia,True
393,Atkins and Associates,CTA,Fund of Funds,Diversified,Currency,True
394,Atlant Fonder,Equity LS,Discretionary,Option Strategy,Nordic,True
395,Atlantic Capital Advisors,CTA,Discretionary,Multi Strategy,Global,False
396,Atlantic House,AssetAllocation,Discretionary,Diversified,Global,True
397,Atlantic Pacific Trading,CTA,Systematic,Trend Following,Global,False
398,Atlantic-Pacific Trading Group,CTA,Systematic,Trend Following,Global,False
399,Atlas,CTA,Discretionary,Fundamental,Global,True
400,Atlas Impact,Equity LS,Discretionary,Fundamental,Global,False
401,Atlas One Lp,CTA,Fund of Funds,Diversified,Global,False
402,Atonic,CTA,Systematic,Trend Following,Metal,False
403,ATP Capital Management,CTA,Systematic,Multi Strategy,Global,False
404,Atreaus Capital,CTA,Discretionary,Fundamental,Global,False
405,Attain Portfolio Advisors,CTA,Systematic,Multi Strategy,Global,False
406,Attis Capital,Crypto,Systematic,Crypto LS,Global,False
407,Attunga Capital Pty,CTA,Discretionary,Fundamental,Agricultural,False
408,AuAg Funds,LongOnly,Discretionary,Fundamental,ESG,True
409,Aubur Capital,Crypto,Discretionary,Digital Asset Allocator,Global,False
410,Aubur Extreme Aubur Clearanc,Crypto,Discretionary,Digital Asset Allocator,Global,False
411,Aubur Top 25 Trend Aubur Clearanc,Crypto,Discretionary,Digital Asset Allocator,Global,False
412,Aubur X20,Crypto,Discretionary,Digital Asset Allocator,Global,False
413,Auctos Capital Management,CTA,Systematic,Trend Following,Global,False
414,Audentia Capital Sicav Plc,CTA,Systematic,Multi Strategy,Currency,False
415,Aune Capital Management,CTA,Systematic,Multi Strategy,Global,False
416,Aurapoint Asset Management,CTA,Discretionary,Technical,Equity,False
417,Aurea Asset Management,CTA,Discretionary,Option Strategy,Metal,False
418,Auricor,CTA,Discretionary,Fundamental,Energy,False
419,Aurum Options Strategies,CTA,Discretionary,Option Strategy,Volatility,False
420,Auspice Capital Advisors,CTA,Systematic,Trend Following,Global,True
422,Autodidactic I Funds,Crypto,Discretionary,Digital Asset Allocator,Global,False
423,AutoGrow Crypto,Crypto,Discretionary,Digital Asset Allocator,Global,False
424,Automaton Trading,CTA,Systematic,Short Term,Global,False
425,Auxano Capital,CTA,Discretionary,Option Strategy,Global,False
426,AV Digital Assets,Crypto,Discretionary,Digital Asset Allocator,Global,False
427,Availeth Capital,CTA,Systematic,Trend Following,Global,False
428,Avendus,Equity LS,Discretionary,Fundamental,India,False
429,Avenir Fund Management Company,Equity LS,Systematic,Multi Strategy,Nordic,False
430,Aventicum,Equity LS,Discretionary,Fundamental,Europe,False
431,Aventis Asset Management,CTA,Discretionary,Fundamental,Commodity,False
432,Aventum Fund Management,Hedge Fund,Systematic,Diversified,Global,False
433,Avenue Investments,Crypto,Fund of Funds,Crypto LS,Global,True
434,Aviva,AssetAllocation,Discretionary,Multi Strategy,Global,True
435,AVM,CTA,Systematic,Fundamental,Global,True
436,AVR Capital Advisors,CTA,Systematic,Multi Strategy,Equity,False
438,Axa IM,Fixed Income,Discretionary,Fundamental,Cat Bond,True
439,Axelsson Ventures,Crypto,Discretionary,Digital Asset Allocator,Global,False
441,Axion Global Asset Management,Crypto,Systematic,Crypto LS,Global,False
442,AXIUM INVEST,Crypto,Discretionary,Digital Asset Allocator,Global,False
443,AXS,Equity LS,Systematic,Fundamental,Global,False
446,Azimut,Fixed Income,Discretionary,Fundamental,Global,True
447,B G Asset Management,CTA,Systematic,Trend Following,Global,False
448,Back Bay FX Services,CTA,Systematic,AI,Currency,False
450,Badger Investment Group,CTA,Discretionary,Option Writer,Equity,False
451,Baillie Gifford,Private Equity,Discretionary,Diversified,Technology,False
452,Bain Capital,Equity LS,Discretionary,Fundamental,ESG,True
453,Bair Capital Management,CTA,Discretionary,Short Term,Currency,False
454,Balanced Capital,CTA,Discretionary,Fundamental,Global,False
455,Baldwin Commodity Corp,CTA,Discretionary,Fundamental,Fixed Income,False
456,Ballymena Advisors,CTA,Discretionary,Fundamental,Agricultural,False
457,Balmoral Digital,Crypto,Systematic,Market Neutral,Global,False
