manager_id,manager_name,type,style,strategy,sector
1149,Dunham,AssetAllocation,Discretionary,Diversified,Global
1155,DWS,Hedge Fund,Discretionary,Multi Strategy,Global
1157,Dynamic,AssetAllocation,Discretionary,Diversified,Global
1158,Dynamic Beta Investments,CTA,Systematic,Trend Following,Global
1169,East Coast Capital Management,CTA,Systematic,Trend Following,Global
1173,Eaton Vance,LongOnly,Discretionary,Diversified,Currency
1178,Eckhardt Trading Company,CTA,Systematic,Trend Following,Global
1184,Edge Capital Investment Management,Crypto,Systematic,Market Neutral,Global
4040,EDL Capital,Equity LS,Discretionary,Fundamental,Global
4451,EFG Capital Management,Hedge Fund,Fund of Funds,Diversified,Global
1190,Egerton,Equity LS,Discretionary,Fundamental,Global
1191,EI Sturdza Funds,Equity LS,Discretionary,Fundamental,Global
1197,EJF Investments,Private Debt,Discretionary,Fundamental,Global
1199,Electron Capital Partners,Equity LS,Discretionary,Fundamental,Global
1201,Elementa Management,Equity LS,Discretionary,Fundamental,Nordic
1202,Eleva,Equity LS,Discretionary,Fundamental,Global
1209,Ellington,Fixed Income,Discretionary,Fundamental,Credit
1212,EMC Capital Advisors,CTA,Systematic,Multi Strategy,Global
1216,Empureon,RiskPremia,Systematic,Option Strategy,Equity
4077,Energy Investment Partners,Hedge Fund,Discretionary,Fundamental,Energy
3814,Engadine Tages,Equity LS,Discretionary,Fundamental,Global
4041,Engine Capital Management,Event Driven,Discretionary,Fundamental,Global
4107,Enhanced Investment Products,Market Neutral,Systematic,Multi Strategy,Asia
1222,Enko Capital Management,Fixed Income,Discretionary,Fundamental,Frontier
1224,Ennismore,Equity LS,Discretionary,Fundamental,Europe
3902,Entrypoint Capital,Equity LS,Systematic,Multi Strategy,Global
1229,EPIC Investment Partners,CTA,Systematic,Trend Following,Global
1231,Episteme Capital Partners,CTA,Systematic,Multi Strategy,Global
4090,Epoch Capital,CTA,Systematic,Multi Strategy,Global
1241,Estee Management Limited,Market Neutral,Systematic,Multi Strategy,Emerging
1242,Estlander & Partners,CTA,Systematic,Trend Following,Global
1245,Ethereal Capital,Crypto,Discretionary,Digital Asset Allocator,Global
1253,Evergreen Commodity Advisors,CTA,Discretionary,Fundamental,Energy
3917,Eversept Partners,Equity LS,Discretionary,Fundamental,Health Care
1259,Exane,Market Neutral,Discretionary,Fundamental,Global
1260,Excalibur Asset Management,Fixed Income,Discretionary,Fundamental,Global
1262,ExoAlpha,Crypto,Systematic,Crypto LS,Global
1270,Fair Oaks Capital,Fixed Income,Discretionary,CLO,Global
4525,Falcon Investment Management,Hedge Fund,Fund of Funds,Diversified,Global
1274,Falgom,CTA,Systematic,Multi Strategy,Commodity
1282,FE Fonder,Equity LS,Discretionary,Fundamental,Europe
1283,Federated Hermes,Market Neutral,Discretionary,Fundamental,US
1285,Fenerator Com,Crypto,Discretionary,Digital Asset Allocator,Global
1289,Feri,Equity LS,Systematic,Option Strategy,Europe
4087,Fieldhouse Capital,CTA,Systematic,Trend Following,Global
3748,Fineco Asset Management,Hedge Fund,Fund of Funds,Diversified,Global
1303,Finlabo,Equity LS,Discretionary,Fundamental,Emerging
1306,Firinne Capital,Crypto,Discretionary,Digital Asset Allocator,Global
1310,First Private,LongOnly,Discretionary,Value,Global
1317,Florin Court Capital,CTA,Systematic,Trend Following,Alternative
1324,FMG Malta,Equity LS,Discretionary,Fundamental,Global
1326,Folios Invest,CTA,Systematic,Multi Strategy,Global
3828,Fondsmaglerselskabet Marselis,Fixed Income,Discretionary,Fundamental,High Yield
4079,Forada Limited,CTA,Discretionary,Fundamental,Global
1329,Fore Elite Capital Management,Crypto,Systematic,Market Neutral,Global
1333,Forester,Equity LS,Discretionary,Value,US
